index,fips,year,temp,tempc
272218,41007,1988,49.833333333333336,9.90740740740741
272219,41007,1989,49.675,9.819444444444445
272220,41007,1990,49.85833333333333,9.921296296296298
272221,41007,1991,49.708333333333336,9.837962962962964
272222,41007,1992,51.34166666666667,10.745370370370372
272223,41007,1993,49.333333333333336,9.629629629629632
272224,41007,1994,49.79166666666666,9.884259259259258
272225,41007,1995,51.00833333333333,10.560185185185183
272226,41007,1996,49.475,9.708333333333334
272227,41007,1997,50.90833333333333,10.504629629629628
272228,41007,1998,50.35833333333333,10.199074074074074
272229,41007,1999,49.25833333333333,9.587962962962962
272230,41007,2000,49.36666666666667,9.648148148148149
272231,41007,2001,49.28333333333333,9.601851851851851
272232,41007,2002,49.66666666666666,9.814814814814811
272233,41007,2003,50.75833333333333,10.421296296296296
272234,41007,2004,51.15,10.63888888888889
272235,41007,2005,50.375,10.208333333333334
272236,41007,2006,49.925,9.958333333333332
272237,41007,2007,49.13333333333333,9.518518518518515
272238,41007,2008,48.575,9.208333333333336
272239,41007,2009,49.31666666666666,9.620370370370368
272240,41007,2010,49.75833333333333,9.86574074074074
272241,41007,2011,48.375,9.09722222222222
272242,41007,2012,49.40833333333333,9.671296296296296
272243,41007,2013,49.63333333333333,9.796296296296296
272244,41007,2014,51.78333333333333,10.99074074074074
272245,41007,2015,52.44166666666666,11.35648148148148
272246,41007,2016,51.875,11.041666666666666
272247,41007,2017,49.975,9.98611111111111
272248,41007,2018,50.94166666666666,10.523148148148143
272249,41007,2019,50.05833333333334,10.03240740740741
272250,41009,1895,48.24166666666667,9.023148148148149
272251,41009,1896,48.875,9.375
272252,41009,1897,49.55,9.749999999999998
272253,41009,1898,49.19166666666666,9.550925925925924
272254,41009,1899,48.475,9.15277777777778
272255,41009,1900,50.18333333333333,10.101851851851851
272256,41009,1901,49.23333333333333,9.574074074074074
272257,41009,1902,49.15833333333333,9.532407407407408
272258,41009,1903,48.95,9.416666666666668
272259,41009,1904,50.31666666666666,10.175925925925924
272260,41009,1905,49.71666666666667,9.842592592592592
272261,41009,1906,50.43333333333333,10.24074074074074
272262,41009,1907,49.516666666666666,9.73148148148148
272263,41009,1908,49.11666666666667,9.50925925925926
272264,41009,1909,47.925,8.847222222222221
272265,41009,1910,49.266666666666666,9.592592592592592
272266,41009,1911,48.35833333333333,9.087962962962964
272267,41009,1912,49.36666666666667,9.648148148148149
272268,41009,1913,48.36666666666667,9.092592592592592
272269,41009,1914,50.03333333333333,10.018518518518515
272270,41009,1915,50.16666666666666,10.09259259259259
272271,41009,1916,46.875,8.26388888888889
272272,41009,1917,49.225,9.569444444444445
272273,41009,1918,49.94166666666667,9.967592592592592
272274,41009,1919,48.09166666666667,8.939814814814817
272275,41009,1920,48.225,9.01388888888889
272276,41009,1921,49.025,9.458333333333334
272277,41009,1922,47.516666666666666,8.62037037037037
272278,41009,1923,49.56666666666666,9.759259259259258
272279,41009,1924,48.825,9.347222222222223
272280,41009,1925,50.53333333333333,10.296296296296296
